time,odom_x,kf_x,ekf_x,pf_x
107.600000,0.189983,0.241739,0.254102,0.208272
107.620000,0.193383,0.249142,0.258264,0.226421
107.640000,0.196762,0.253108,0.262062,0.234103
107.660000,0.200120,0.259024,0.266107,0.234652
107.680000,0.203455,0.266967,0.269993,0.235664
107.700000,0.206769,0.271828,0.273630,0.235742
107.720000,0.210060,0.276181,0.277246,0.241592
107.740000,0.213328,0.281793,0.280832,0.243668
107.760000,0.216572,0.285924,0.284250,0.246456
107.780000,0.219793,0.291601,0.287801,0.245473
107.800000,0.222991,0.298623,0.291342,0.254839
107.820000,0.226164,0.307282,0.294985,0.258591
107.840000,0.229312,0.311780,0.298301,0.254855
107.860000,0.232436,0.318451,0.301701,0.258050
107.880000,0.235535,0.323469,0.304833,0.258335
107.900000,0.238608,0.329324,0.308038,0.260190
107.920000,0.241655,0.337255,0.311290,0.261296
107.940000,0.244676,0.342010,0.314293,0.266977
107.960000,0.247671,0.345482,0.317101,0.272975
107.980000,0.250640,0.348900,0.319824,0.275376
108.000000,0.253581,0.352777,0.322509,0.271677
108.020000,0.256495,0.359392,0.325289,0.275548
108.040000,0.259382,0.366221,0.328088,0.271942
108.060000,0.262240,0.371432,0.330715,0.275275
108.080000,0.265071,0.377382,0.333307,0.276472
108.100000,0.267873,0.382004,0.335712,0.280467
108.120000,0.270646,0.386656,0.338012,0.273774
108.140000,0.273391,0.392064,0.340408,0.272498
108.160000,0.276106,0.398533,0.342677,0.271648
108.180000,0.278792,0.403400,0.344806,0.273241
108.200000,0.281448,0.409262,0.346958,0.266367
108.220000,0.284074,0.414816,0.349044,0.266095
108.240000,0.286670,0.421242,0.351065,0.265833
108.260000,0.289235,0.428115,0.353027,0.265119
108.280000,0.291769,0.432960,0.354865,0.262876
108.300000,0.294272,0.439122,0.356671,0.277261
108.320000,0.296744,0.442852,0.358290,0.273523
108.340000,0.299184,0.446261,0.359832,0.282093
108.360000,0.301593,0.451758,0.361362,0.280943
108.380000,0.303969,0.457695,0.362868,0.292065
108.400000,0.306314,0.463187,0.364244,0.290591
108.420000,0.308625,0.468315,0.365554,0.292651
108.440000,0.310904,0.472692,0.366781,0.290746
108.460000,0.313150,0.479099,0.367969,0.284957
108.480000,0.315362,0.483291,0.369030,0.278162
108.500000,0.317542,0.489505,0.370081,0.267365
108.520000,0.319687,0.496632,0.371086,0.271165
108.540000,0.321799,0.501849,0.371956,0.276062
108.560000,0.323877,0.506301,0.372739,0.277917
108.580000,0.325920,0.514882,0.373520,0.274626
108.600000,0.327929,0.519631,0.374176,0.271702
108.620000,0.329903,0.525279,0.374766,0.263629
108.640000,0.331842,0.529133,0.375239,0.273974
108.660000,0.333746,0.534351,0.375665,0.278568
108.680000,0.335615,0.537667,0.376007,0.276220
108.700000,0.337449,0.544672,0.376306,0.278287
108.720000,0.339247,0.550322,0.376513,0.281366
108.740000,0.341009,0.555192,0.376645,0.284274
108.760000,0.342735,0.559850,0.376698,0.283279
108.780000,0.344425,0.565576,0.376681,0.286956
108.800000,0.346078,0.571009,0.376590,0.289103
108.820000,0.347695,0.578825,0.376416,0.277089
108.840000,0.349275,0.581613,0.376186,0.288706
108.860000,0.350819,0.587245,0.375868,0.285988
108.880000,0.352325,0.594366,0.375455,0.286260
108.900000,0.353795,0.600092,0.374994,0.278684
108.920000,0.355227,0.607153,0.374432,0.272979
108.940000,0.356622,0.611455,0.373820,0.271399
108.960000,0.357979,0.619180,0.373094,0.278129
108.980000,0.359298,0.622153,0.372351,0.277908
109.000000,0.360580,0.627968,0.371498,0.274725
109.020000,0.361824,0.633300,0.370573,0.295116
109.040000,0.363029,0.639656,0.369572,0.287695
109.060000,0.364197,0.647142,0.368465,0.302670
109.080000,0.365326,0.651864,0.367294,0.288951
109.100000,0.366416,0.658281,0.366032,0.288705
109.120000,0.367468,0.666313,0.364654,0.284196
109.140000,0.368482,0.671562,0.363248,0.289366
109.160000,0.369457,0.677302,0.361770,0.291898
109.180000,0.370392,0.681893,0.360249,0.284739
109.200000,0.371289,0.688330,0.358578,0.292693
109.220000,0.372147,0.695464,0.356855,0.291349
109.240000,0.372966,0.702907,0.354954,0.290534
109.260000,0.373746,0.708739,0.353046,0.292699
109.280000,0.374486,0.714988,0.351082,0.303237
109.300000,0.375187,0.718341,0.349149,0.295088
109.320000,0.375849,0.719655,0.347277,0.284639
109.340000,0.376471,0.725518,0.345163,0.299726
109.360000,0.377053,0.730963,0.342971,0.297092
109.380000,0.377596,0.734839,0.340830,0.304529
109.400000,0.378100,0.738672,0.338624,0.304569
109.420000,0.378563,0.756488,0.335432,0.285565
109.440000,0.378987,0.763279,0.332792,0.305198
109.460000,0.379371,0.767070,0.330224,0.307345
109.480000,0.379715,0.772077,0.327651,0.315016
109.500000,0.380020,0.776706,0.324935,0.309625
109.520000,0.380284,0.779898,0.322289,0.313385
