time,kf_x,odom_x
1751034076.205787,1.151283,1.023440
1751034076.227785,1.151637,1.023440
1751034076.250623,1.152034,1.023440
1751034076.272539,1.152292,1.023440
1751034076.294781,1.152544,1.023440
1751034076.319089,1.152901,1.023440
1751034076.341736,1.153102,1.023440
1751034076.363671,1.153240,1.023440
1751034076.387027,1.153425,1.023440
1751034076.409418,1.153545,1.023440
1751034076.432054,1.153658,1.023440
1751034076.453466,1.153721,1.023440
1751034076.475259,1.153788,1.023440
1751034076.497688,1.153862,1.023440
1751034076.520581,1.153935,1.023440
1751034076.543800,1.154002,1.023440
1751034076.565862,1.154043,1.023440
1751034076.588268,1.154083,1.023440
1751034076.610160,1.154113,1.023440
1751034076.632411,1.154142,1.023440
1751034076.654629,1.154168,1.023440
1751034076.677629,1.154195,1.023440
1751034076.700564,1.154219,1.023440
1751034076.722425,1.154233,1.023440
1751034076.744776,1.154248,1.023440
1751034076.767356,1.154262,1.023440
1751034076.790095,1.154274,1.023440
1751034076.812324,1.154284,1.023440
1751034076.835184,1.154293,1.023440
1751034076.857340,1.154300,1.023440
1751034076.879453,1.154306,1.023440
1751034076.902992,1.154314,1.023440
1751034076.925663,1.154319,1.023440
1751034076.948073,1.154323,1.023440
1751034076.969732,1.154325,1.023440
1751034076.992170,1.154329,1.023440
1751034077.014504,1.154331,1.023440
1751034077.037560,1.154334,1.023440
1751034077.059535,1.154336,1.023440
1751034077.082529,1.154338,1.023440
1751034077.107066,1.154341,1.023440
1751034077.129049,1.154342,1.023440
1751034077.151016,1.154343,1.023440
1751034077.173472,1.154344,1.023385
1751034077.197532,1.154324,1.023285
1751034077.222069,1.154282,1.023185
1751034077.244903,1.154245,1.023085
1751034077.267843,1.154147,1.022960
1751034077.289899,1.154098,1.022760
1751034077.311827,1.154034,1.022560
1751034077.333983,1.153947,1.022360
1751034077.355768,1.153857,1.022160
1751034077.378726,1.153706,1.021960
1751034077.401660,1.153544,1.021760
1751034077.423939,1.153404,1.021560
1751034077.447484,1.153190,1.021360
1751034077.469773,1.153038,1.021160
1751034077.493226,1.152814,1.020960
1751034077.516619,1.152590,1.020760
1751034077.540875,1.152316,1.020560
1751034077.564603,1.152075,1.020360
1751034077.586922,1.151918,1.020160
1751034077.609640,1.151729,1.019960
1751034077.632159,1.151547,1.019760
1751034077.654140,1.151393,1.019560
1751034077.681028,1.150922,1.019290
1751034077.706323,1.150554,1.018935
1751034077.733317,1.149982,1.018505
1751034077.756753,1.149671,1.017980
1751034077.780257,1.149359,1.017380
1751034077.810102,1.148279,1.016695
1751034077.835845,1.147666,1.015910
1751034077.862984,1.146776,1.015055
1751034077.890449,1.145754,1.014085
1751034077.914167,1.145349,1.013040
1751034077.943781,1.143573,1.011905
1751034077.967932,1.142984,1.010685
1751034077.995119,1.141568,1.009385
1751034078.023119,1.139755,1.007975
1751034078.048821,1.138668,1.006475
1751034078.076034,1.136969,1.004890
1751034078.100870,1.136045,1.003215
1751034078.125927,1.134884,1.001475
1751034078.148756,1.134507,0.999645
